53 - Despesa em saúde per capita
Despesa em saúde per capita por Município e Ano
Período:2020-2022
"Município";"2020";"2021";"2022";"Total"
"350010 Adamantina";1495,64;1620,61;1566,13;1560,79
"350020 Adolfo";1537,93;1734,25;2257,50;1846,31
"350030 Aguaí";883,86;991,03;987,51;954,03
"350040 Águas da Prata";920,09;977,04;1209,48;1035,10
"350050 Águas de Lindóia";1290,04;1262,27;1322,20;1291,49
"350055 Águas de Santa Bárbara";1252,49;1451,32;1678,41;1462,84
"350060 Águas de São Pedro";2473,29;2718,50;2686,08;2625,95
"350070 Agudos";1514,88;1477,06;1568,86;1520,32
"350075 Alambari";1054,28;957,32;1299,37;1104,81
"350080 Alfredo Marcondes";1040,84;1007,85;1437,51;1162,97
"350090 Altair";2568,46;2667,21;3288,62;2838,39
"350100 Altinópolis";1003,42;1229,69;1528,06;1254,34
"350110 Alto Alegre";2385,30;2341,45;2978,04;2565,05
"350115 Alumínio";1026,99;1277,45;1510,94;1271,55
"350120 Álvares Florence";1322,67;1797,68;2219,75;1778,98
"350130 Álvares Machado";794,84;775,36;998,97;856,92
"350140 Álvaro de Carvalho";922,67;1171,64;1641,82;1245,27
"350150 Alvinlândia";1275,14;1514,71;1770,59;1518,78
"350160 Americana";893,17;989,55;1069,56;984,48
"350170 Américo Brasiliense";1037,87;1261,82;1468,34;1254,88
"350180 Américo de Campos";1071,68;1374,37;1798,12;1414,12
"350190 Amparo";1571,19;1572,43;1858,66;1667,38
"350200 Analândia";1292,74;1559,23;1911,01;1588,17
"350210 Andradina";818,36;1027,78;1165,94;1004,34
"350220 Angatuba";1026,86;1334,09;1329,46;1230,55
"350230 Anhembi";1788,11;2060,43;2770,50;2205,74
"350240 Anhumas";1239,85;1522,32;1895,12;1553,28
"350250 Aparecida";693,64;890,28;984,87;855,19
"350260 Aparecida d'Oeste";1556,18;1885,24;2123,83;1852,94
"350270 Apiaí";945,71;949,30;1090,11;994,69
"350275 Araçariguama";1462,67;1671,36;1755,87;1631,55
"350280 Araçatuba";829,03;892,31;1025,98;916,03
"350290 Araçoiaba da Serra";784,99;859,30;870,76;838,66
"350300 Aramina";1316,05;1370,94;1747,81;1478,24
"350310 Arandu";1279,31;1258,50;1891,35;1477,86
"350315 Arapeí";1907,32;2037,96;3824,97;2583,33
"350320 Araraquara";1511,84;1830,61;1754,47;1699,74
"350330 Araras";939,22;991,48;1016,17;982,43
"350335 Arco-Íris";2161,59;1815,62;2361,24;2112,95
"350340 Arealva";1053,26;1338,52;1492,27;1294,93
"350350 Areias";1365,57;1601,22;2258,45;1740,34
"350360 Areiópolis";853,23;977,14;1100,49;976,36
"350370 Ariranha";1400,44;1751,65;1618,29;1589,19
"350380 Artur Nogueira";746,58;875,76;1010,41;878,48
"350390 Arujá";1036,71;1184,45;1499,17;1241,54
"350395 Aspásia";2026,19;1776,51;2660,24;2153,74
"350400 Assis";1041,67;1089,78;1033,55;1055,01
"350410 Atibaia";940,34;1036,97;1218,85;1066,70
"350420 Auriflama";1023,99;1272,82;1525,88;1273,05
"350430 Avaí";1272,12;1465,90;1934,66;1555,44
"350440 Avanhandava";869,57;1169,91;1229,64;1089,23
"350450 Avaré";1123,33;1257,19;1205,83;1195,62
"350460 Bady Bassitt";877,00;1044,31;1088,98;1006,25
"350470 Balbinos";1536,84;1816,60;2066,64;1808,01
"350480 Bálsamo";951,27;1127,19;1292,56;1124,69
"350490 Bananal";824,67;1276,10;1521,80;1206,57
"350500 Barão de Antonina";1364,76;1685,96;2164,76;1741,09
"350510 Barbosa";1312,73;1346,75;1920,41;1523,17
"350520 Bariri";1003,80;1086,10;1345,02;1144,63
"350530 Barra Bonita";965,48;1140,87;1272,15;1125,65
"350535 Barra do Chapéu";1393,60;879,97;1311,33;1195,03
"350540 Barra do Turvo";1375,78;1437,87;1667,88;1492,47
"350550 Barretos";1688,09;2098,95;2627,66;2139,66
"350560 Barrinha";759,19;816,05;966,40;847,62
"350570 Barueri";2856,10;3358,43;3813,03;3347,82
"350580 Bastos";1319,47;1268,92;1485,07;1357,84
"350590 Batatais";1209,20;1189,37;1274,11;1224,23
"350600 Bauru";712,59;746,71;816,56;758,79
"350610 Bebedouro";1062,54;1142,40;1400,74;1201,62
"350620 Bento de Abreu";2042,64;1911,35;2619,57;2189,80
"350630 Bernardino de Campos";1231,70;1468,31;1753,86;1485,01
"350635 Bertioga";1671,31;1848,41;2073,12;1866,92
"350640 Bilac";1331,88;1520,64;1820,50;1557,22
"350650 Birigui";997,85;1035,08;1118,05;1050,46
"350660 Biritiba-Mirim";729,60;692,04;903,81;775,14
"350670 Boa Esperança do Sul";1010,85;1268,36;1674,32;1316,65
"350680 Bocaina";963,34;1028,35;1295,58;1095,62
"350690 Bofete";1143,40;1377,55;1254,30;1258,52
"350700 Boituva";882,64;946,27;1344,12;1060,03
"350710 Bom Jesus dos Perdões";970,55;1023,09;1259,94;1085,19
"350715 Bom Sucesso de Itararé";1431,20;1894,23;2461,61;1928,92
"350720 Borá";4468,75;4323,61;5768,49;4852,31
"350730 Boracéia";1619,61;1904,99;2145,66;1891,27
"350740 Borborema";1209,29;1347,65;1775,68;1443,23
"350745 Borebi";1869,95;1951,16;2518,03;2115,00
"350750 Botucatu";766,45;881,99;1006,45;885,60
"350760 Bragança Paulista";947,11;1010,06;1152,51;1037,37
"350770 Braúna";1344,35;1239,01;1581,91;1388,64
"350775 Brejo Alegre";1828,22;2091,63;2890,41;2268,76
"350780 Brodowski";957,13;1077,31;1222,39;1086,59
"350790 Brotas";1200,04;1396,37;1581,49;1393,33
"350800 Buri";929,67;1012,06;1317,15;1086,62
"350810 Buritama";1373,67;1493,74;1765,86;1545,00
"350820 Buritizal";1358,23;1808,60;2367,89;1845,74
"350830 Cabrália Paulista";1086,37;1499,36;1810,61;1463,66
"350840 Cabreúva";1277,66;1448,01;1691,30;1473,43
"350850 Caçapava";974,69;1004,53;1095,11;1025,03
"350860 Cachoeira Paulista";797,30;860,77;1015,12;891,08
"350870 Caconde";1114,85;905,89;1085,05;1035,30
"350880 Cafelândia";1154,66;1249,98;1596,40;1333,14
"350890 Caiabu";1256,93;1315,58;1836,28;1467,45
"350900 Caieiras";801,55;944,47;1000,96;915,94
"350910 Caiuá";1471,04;1350,30;1726,04;1516,24
"350920 Cajamar";1554,19;1733,83;1767,67;1686,98
"350925 Cajati";1257,33;1320,16;1503,13;1359,95
"350930 Cajobi";1182,34;1326,20;1527,65;1344,45
"350940 Cajuru";1209,93;1424,36;1632,77;1422,16
"350945 Campina do Monte Alegre";842,45;731,92;1422,53;999,19
"350950 Campinas";1335,42;1457,65;1580,46;1457,91
"350960 Campo Limpo Paulista";865,55;853,93;1044,10;921,17
"350970 Campos do Jordão";1099,42;1143,84;1384,13;1208,74
"350980 Campos Novos Paulista";1237,14;1772,84;1923,90;1645,46
"350990 Cananéia";1437,51;1623,23;2002,17;1687,19
"350995 Canas";938,41;853,39;1317,83;1037,34
"351000 Cândido Mota";799,72;921,68;1006,92;909,06
"351010 Cândido Rodrigues";1468,55;1676,71;2347,51;1832,45
"351015 Canitar";750,14;902,52;1320,91;995,97
"351020 Capão Bonito";969,18;1010,90;1252,40;1077,16
"351030 Capela do Alto";792,75;875,96;944,22;871,88
"351040 Capivari";958,26;980,01;1074,72;1004,33
"351050 Caraguatatuba";1674,09;1680,00;1964,32;1774,60
"351060 Carapicuíba";431,73;441,16;591,81;488,19
"351070 Cardoso";1154,28;1369,28;1565,86;1361,85
"351080 Casa Branca";882,26;1103,80;1271,89;1085,46
"351090 Cássia dos Coqueiros";1747,27;1962,75;2142,70;1950,89
"351100 Castilho";1628,73;1869,44;2106,52;1868,73
"351110 Catanduva";841,02;847,81;987,40;892,02
"351120 Catiguá";926,47;994,04;1448,23;1121,99
"351130 Cedral";911,57;1007,42;1386,26;1106,64
"351140 Cerqueira César";922,42;1037,79;1228,50;1064,09
"351150 Cerquilho";992,63;1053,68;1139,54;1062,26
"351160 Cesário Lange";901,35;1181,76;1377,45;1155,52
"351170 Charqueada";766,88;741,72;1138,86;882,50
"355720 Chavantes";782,66;996,59;1055,67;944,63
"351190 Clementina";972,51;1164,04;1544,64;1226,19
"351200 Colina";1335,73;1682,51;1968,71;1662,95
"351210 Colômbia";2228,52;2160,01;2733,28;2374,12
"351220 Conchal";893,21;1009,00;1108,91;1004,11
"351230 Conchas";969,58;1183,26;1453,43;1200,68
"351240 Cordeirópolis";1662,75;1633,17;1718,86;1671,75
"351250 Coroados";1227,98;1316,22;1730,98;1424,60
"351260 Coronel Macedo";1393,98;1538,73;1824,30;1582,65
"351270 Corumbataí";1730,54;1905,99;2130,86;1922,85
"351280 Cosmópolis";778,89;879,12;1088,40;915,34
"351290 Cosmorama";931,85;1122,98;1281,44;1113,59
"351300 Cotia";649,02;709,63;774,50;711,88
"351310 Cravinhos";882,12;916,60;1083,51;960,77
"351320 Cristais Paulista";791,45;1128,18;1190,43;1038,43
"351330 Cruzália";2043,28;2208,00;3070,59;2436,67
"351340 Cruzeiro";789,28;800,45;1474,35;1020,02
"351350 Cubatão";1933,80;1924,85;1974,43;1944,24
"351360 Cunha";763,14;798,64;962,91;841,41
"351370 Descalvado";1177,94;1191,75;1459,64;1276,28
"351380 Diadema";1096,82;1185,08;1377,38;1219,47
"351385 Dirce Reis";1996,72;2052,71;2915,36;2320,36
"351390 Divinolândia";840,87;860,26;1017,50;905,91
"351400 Dobrada";877,15;867,04;1033,23;926,07
"351410 Dois Córregos";969,85;1122,41;1237,31;1109,43
"351420 Dolcinópolis";1644,56;1712,29;3414,84;2258,96
"351430 Dourado";1323,36;1518,14;1851,33;1562,60
"351440 Dracena";1011,96;1288,35;1353,20;1217,84
"351450 Duartina";1203,62;1183,42;1372,96;1253,24
"351460 Dumont";770,90;946,81;1069,61;930,33
"351470 Echaporã";1098,92;1300,27;1597,84;1331,48
"351480 Eldorado";973,59;1063,77;1412,83;1148,03
"351490 Elias Fausto";1111,37;1160,91;1526,91;1267,24
"351492 Elisiário";1252,31;1227,99;1367,34;1282,43
"351495 Embaúba";2156,68;2672,86;3420,10;2746,14
"351500 Embu das Artes";852,16;887,45;1146,19;961,84
"351510 Embu-Guaçu";590,39;786,81;973,75;783,73
"351512 Emilianópolis";1606,95;1547,18;1849,27;1667,18
"351515 Engenheiro Coelho";1054,37;1258,24;1544,05;1288,15
"351518 Espírito Santo do Pinhal";1063,69;1187,05;1530,84;1259,45
"351519 Espírito Santo do Turvo";1423,54;1491,62;2050,33;1654,48
"355730 Estiva Gerbi";1112,25;1154,03;1453,24;1240,70
"351520 Estrela d'Oeste";1288,33;1213,39;1564,62;1356,27
"351530 Estrela do Norte";1476,70;1540,22;2263,96;1759,04
"351535 Euclides da Cunha Paulista";1050,63;1131,70;1404,16;1193,00
"351540 Fartura";1043,44;1068,73;1337,70;1150,27
"351560 Fernando Prestes";1493,50;1660,22;2299,20;1818,94
"351550 Fernandópolis";823,34;855,78;1034,16;904,75
"351565 Fernão";2608,24;2282,05;3429,70;2774,10
"351570 Ferraz de Vasconcelos";367,33;411,52;532,80;437,33
"351580 Flora Rica";1927,83;2246,63;2827,54;2328,22
"351590 Floreal";1788,31;2011,81;2346,80;2046,48
"351600 Flórida Paulista";885,20;898,38;1161,09;981,31
"351610 Florínia";1555,50;1631,72;1967,74;1720,46
"351620 Franca";668,47;737,56;861,05;755,99
"351630 Francisco Morato";488,83;478,99;558,30;508,77
"351640 Franco da Rocha";943,14;455,29;1004,59;801,16
"351650 Gabriel Monteiro";2092,18;2284,92;2789,96;2387,70
"351660 Gália";1251,64;972,40;1745,42;1320,84
"351670 Garça";988,76;1233,83;1387,60;1202,69
"351680 Gastão Vidigal";1373,49;1462,62;1479,37;1437,51
"351685 Gavião Peixoto";2772,58;2429,00;4064,05;3089,14
"351690 General Salgado";1117,20;1139,48;1520,61;1258,14
"351700 Getulina";837,15;903,76;1358,10;1031,62
"351710 Glicério";1440,32;1519,47;2409,22;1785,41
"351720 Guaiçara";738,50;876,50;1146,24;920,65
"351730 Guaimbê";1177,50;1285,10;1836,71;1432,26
"351740 Guaíra";1092,60;1360,08;1232,18;1228,32
"351750 Guapiaçu";978,29;1096,86;1356,98;1145,70
"351760 Guapiara";1220,94;535,81;1555,83;1102,93
"351770 Guará";848,42;1049,20;1391,52;1094,67
"351780 Guaraçaí";1394,14;1469,63;1751,96;1536,61
"351790 Guaraci";1436,71;1251,54;1515,59;1401,24
"351800 Guarani d'Oeste";2297,40;2157,82;2775,23;2410,16
"351810 Guarantã";1221,57;1284,33;1576,61;1360,54
"351820 Guararapes";1036,81;1106,43;1470,44;1204,17
"351830 Guararema";1717,05;1738,73;1743,47;1733,19
"351840 Guaratinguetá";1130,43;1200,61;1313,13;1214,84
"351850 Guareí";929,02;1133,34;1322,98;1128,38
"351860 Guariba";876,45;938,66;1161,50;992,25
"351870 Guarujá";1497,39;1496,58;1610,70;1534,70
"351880 Guarulhos";859,57;929,95;1072,23;953,98
"351885 Guatapará";1340,54;1202,31;1718,35;1420,36
"351890 Guzolândia";1278,29;1369,50;1738,25;1459,77
"351900 Herculândia";1030,56;949,13;1327,73;1102,59
"351905 Holambra";1353,60;1519,62;2108,71;1665,97
"351907 Hortolândia";1072,17;1153,78;1369,54;1199,80
"351910 Iacanga";1362,97;1571,65;1937,58;1624,40
"351920 Iacri";1093,37;1232,53;1571,69;1297,99
"351925 Iaras";979,91;1311,40;1453,33;1250,72
"351930 Ibaté";743,65;814,67;920,92;826,45
"351940 Ibirá";1105,83;810,48;1311,12;1076,04
"351950 Ibirarema";1377,84;1346,92;1570,84;1431,32
"351960 Ibitinga";717,39;837,54;970,81;842,49
"351970 Ibiúna";1131,89;980,80;1207,00;1106,60
"351980 Icém";1490,94;1789,39;2185,98;1821,83
"351990 Iepê";1871,82;2088,32;2686,99;2214,78
"352000 Igaraçu do Tietê";852,03;853,85;961,60;888,98
"352010 Igarapava";1014,33;1167,64;1352,73;1177,28
"352020 Igaratá";1194,76;1137,31;1258,42;1197,04
"352030 Iguape";967,10;799,20;1040,38;935,48
"352042 Ilha Comprida";1975,90;1904,92;2168,33;2017,78
"352044 Ilha Solteira";1377,07;1561,11;1909,53;1615,42
"352040 Ilhabela";4736,54;2560,02;6700,78;4675,43
"352050 Indaiatuba";1188,59;1277,60;1425,74;1298,59
"352060 Indiana";1101,36;1210,72;1922,64;1411,35
"352070 Indiaporã";1696,18;1828,23;2101,40;1874,83
"352080 Inúbia Paulista";1180,03;1304,69;1525,61;1336,39
"352090 Ipaussu";1040,21;1141,01;1302,33;1160,94
"352100 Iperó";652,88;884,75;1074,15;872,98
"352110 Ipeúna";1703,24;1789,74;2573,87;2024,03
"352115 Ipiguá";1156,08;1128,70;1381,90;1224,14
"352120 Iporanga";1542,82;1607,48;1943,23;1696,89
"352130 Ipuã";1437,66;2026,94;2137,82;1867,32
"352140 Iracemápolis";963,61;889,07;914,67;922,38
"352150 Irapuã";1094,62;1209,10;1603,42;1300,75
"352160 Irapuru";915,98;942,04;1069,03;975,06
"352170 Itaberá";1035,53;1097,79;1531,58;1221,06
"352180 Itaí";1040,54;1195,36;1505,40;1247,19
"352190 Itajobi";1069,00;1181,66;1599,28;1285,21
"352200 Itaju";1441,82;1384,03;1818,09;1549,10
"352210 Itanhaém";881,28;998,46;1120,70;1001,36
"352215 Itaóca";1421,34;1468,11;1802,60;1564,29
"352220 Itapecerica da Serra";697,75;635,81;883,16;738,84
"352230 Itapetininga";1043,64;1160,09;1329,41;1178,12
"352240 Itapeva";1187,57;1378,46;1614,79;1393,27
"352250 Itapevi";851,41;892,99;1075,95;940,73
"352260 Itapira";1216,27;918,06;791,83;975,30
"352265 Itapirapuã Paulista";1409,15;1107,83;1997,74;1506,56
"352270 Itápolis";1054,67;1109,84;1291,63;1151,74
"352280 Itaporanga";954,36;1143,83;1088,84;1062,06
"352290 Itapuí";1114,40;1145,19;1480,02;1247,83
"352300 Itapura";1381,36;1395,53;1914,79;1561,02
"352310 Itaquaquecetuba";414,78;418,45;600,31;478,33
"352320 Itararé";787,98;704,29;962,83;817,72
"352330 Itariri";749,33;1012,33;1448,30;1069,42
"352340 Itatiba";940,39;1013,19;1098,90;1018,09
"352350 Itatinga";870,93;1029,77;1150,35;1017,10
"352360 Itirapina";1149,48;1362,39;1687,80;1400,41
"352370 Itirapuã";939,33;876,61;1117,88;977,69
"352380 Itobi";735,93;845,93;1143,17;908,83
"352390 Itu";947,77;1430,75;1550,11;1310,36
"352400 Itupeva";1166,70;1383,69;1756,29;1441,38
"352410 Ituverava";1252,22;1487,63;1413,80;1384,29
"352420 Jaborandi";1392,35;1444,58;1716,34;1516,77
"352430 Jaboticabal";1275,60;1540,25;1675,27;1496,65
"352440 Jacareí";1067,46;1208,07;1259,31;1178,70
"352450 Jaci";1086,48;1119,97;1445,92;1219,61
"352460 Jacupiranga";1090,53;1141,92;965,07;1066,26
"352470 Jaguariúna";2148,75;2558,49;2540,10;2418,22
"352480 Jales";762,92;968,58;1254,17;995,15
"352490 Jambeiro";1204,52;1281,98;1332,41;1273,47
"352500 Jandira";686,95;727,57;814,96;743,31
"352510 Jardinópolis";917,89;971,34;1141,23;1011,03
"352520 Jarinu";1188,75;1167,00;1221,49;1192,72
"352530 Jaú";1161,56;1205,52;1355,36;1240,73
"352540 Jeriquara";1227,49;1450,86;1597,55;1427,22
"352550 Joanópolis";979,01;962,66;1313,32;1085,37
"352560 João Ramalho";1181,77;1498,29;1611,50;1430,40
"352570 José Bonifácio";704,64;853,38;1136,33;899,04
"352580 Júlio Mesquita";1254,88;1425,47;1655,06;1444,27
"352585 Jumirim";1385,42;1446,77;1819,36;1551,10
"352590 Jundiaí";1417,39;1618,55;1762,80;1600,86
"352600 Junqueirópolis";1244,05;1381,22;1533,54;1386,51
"352610 Juquiá";945,30;924,06;1070,98;979,50
"352620 Juquitiba";841,39;931,90;999,49;923,83
"352630 Lagoinha";1092,08;1305,70;1597,29;1331,96
"352640 Laranjal Paulista";1136,30;1393,12;1379,97;1303,21
"352650 Lavínia";918,20;1040,38;1178,16;1046,25
"352660 Lavrinhas";928,30;1178,93;1620,34;1243,26
"352670 Leme";1068,69;1245,17;1275,58;1196,61
"352680 Lençóis Paulista";939,11;957,66;1111,68;1003,08
"352690 Limeira";993,08;1156,10;1089,83;1079,72
