cod_ibge;municipio;casos_dengue;precipitacao_total_anual;temp_media_anual;vento_vlc_media_anual;saneamento_basico;abastecimento_agua;esgotamento_sanitario;coleta_residuos;total_coleta_residuos;drenagem_urbana;pop_estimada;pib_municipio;desp_saude_percapta;dens_demografica;desp_percapta_RSU
3500105; ADAMANTINA;100;1,15;297,49;24,13;Sim;Sim;Sim;Sim;320,00;Sim;35153;1370866;1620,61;84,25;40,5
3500204; ADOLFO;168;0,49;51,25;5,09;;;;;0,00;;3545;115490;1734,25;20,34;0
3500303; AGUAI;153;0;0;0;Sim;Sim;Sim;Não;0,00;Sim;36981;1314737;991,03;67,80;31,08
3500402; AGUAS DA PRATA;3;0;0;0;Sim;Sim;Sim;Sim;1339,00;Sim;8262;209004;977,04;51,89;69,61
3500501; AGUAS DE LINDOIA;10;0;0;0;Sim;;;Não;0,00;;18908;585604;1262,27;298,64;76,96
3500550; AGUAS DE SANTA BARBARA;52;0;52,49;5,86;Sim;Sim;Sim;Não;0,00;Sim;6142;217296;1451,32;17,49;157,28
3500600; AGUAS DE SAO PEDRO;30;0;0;0;Sim;Sim;Sim;Sim;129,80;Sim;3588;147855;2718,5;771,04;380,7
3500709; AGUDOS;38;1,24;199,23;9,29;Sim;Sim;Sim;Sim;1000,00;Sim;37582;2638623;1477,06;38,83;41,19
3500758; ALAMBARI;116;0,42;74,54;6,47;Não;;;Não;0,00;;6231;129390;957,32;37,89;71,93
3500808; ALFREDO MARCONDES;37;0,71;209,87;10,35;Não;;;Sim;144,00;;4201;120355;1007,85;37,10;109,06
3500907; ALTAIR;60;0,26;91,12;4,2;;;;;0,00;;4211;112274;2667,21;11,18;0
3501004; ALTINOPOLIS;25;1,65;198,63;13,74;Sim;Sim;Sim;Sim;590,00;Sim;16221;833396;1229,69;18,04;127,28
3501103; ALTO ALEGRE;218;1,39;234,42;25,56;Não;;;Sim;6,00;;4078;113585;2341,45;12,28;139,54
3501152; ALUMINIO;40;0,44;158,93;16,68;Sim;Sim;Sim;Sim;492,70;Sim;18903;3982313;1277,45;207,29;199,69
3501202; ALVARES FLORENCE;132;0,1;291,16;14,57;Não;;;Não;0,00;;3616;124351;1797,68;10,86;375,25
3501301; ALVARES MACHADO;84;1,04;237,27;11,84;Sim;Sim;Sim;Sim;441,40;Sim;25078;709876;775,36;77,74;130,97
3501400; ALVARO DE CARVALHO;159;1,03;197,41;8,96;Sim;Sim;Sim;Sim;25,00;Sim;5320;58586;1171,64;31,28;93,64
3501509; ALVINLANDIA;28;0,62;95,09;2,05;Sim;Não;Não;Sim;19,90;Sim;3251;58405;1514,71;34,33;76,11
3501608; AMERICANA;1808;0;0;0;Sim;Sim;Sim;Sim;1440,00;Sim;244370;15217280;989,55;1758,98;107,63
3501707; AMERICO BRASILIENSE;100;1,58;253,89;16,65;Não;;;Não;0,00;;41545;1230444;1261,82;270,79;42,61
3501806; AMERICO DE CAMPOS;19;0,09;190,87;9,3;Sim;Sim;Sim;Não;0,00;Não;5993;126802;1374,37;23,28;99,91
3501905; AMPARO;124;0;0;0;Sim;Sim;Sim;Sim;204,00;Sim;73145;5152156;1572,43;152,79;182,7
3502002; ANALANDIA;9;0,99;111;6,21;Sim;Sim;Sim;Não;0,00;Sim;5115;208314;1559,23;14,05;25,51
3502101; ANDRADINA;2513;1,15;297,49;24,13;Não;;;Sim;1092,00;;57245;2845285;1027,78;61,84;131,61
3502200; ANGATUBA;79;0;131,06;15,64;Não;;;Sim;1000,00;;25724;1474152;1334,09;23,27;40,6
3502309; ANHEMBI;64;0;0;0;Sim;Sim;Sim;Não;0,00;Sim;6911;169558;2060,43;7,71;28,73
3502408; ANHUMAS;13;0,72;158,56;8,38;Sim;Sim;Sim;Sim;110,00;Sim;4172;105621;1522,32;12,51;77,51
3502507; APARECIDA;31;0,73;47,51;3,6;Sim;;;Não;0,00;;36211;1041067;890,28;272,63;71,27
3502606; APARECIDA D'OESTE;12;0,16;132,53;15,3;Sim;;;Não;0,00;;4122;151540;1885,24;23,07;90,8
3502705; APIAI;5;0,49;65,2;5,01;Sim;Sim;Sim;Sim;513,00;Não;24081;897713;949,3;25,45;74,69
3502754; ARACARIGUAMA;11;0,22;75,5;1,51;Sim;Sim;Sim;Não;0,00;Sim;23343;4814504;1671,36;145,54;111,43
3502804; ARACATUBA;6029;1,15;297,49;24,13;Sim;Sim;Sim;Sim;1110,00;Sim;199210;9017958;892,31;170,75;60,2
3502903; ARACOIABA DA SERRA;141;0,41;119,09;10,88;Sim;Sim;Sim;Não;0,00;Sim;35389;1205884;859,3;125,53;44,9
3503000; ARAMINA;0;0;0;0;Não;;;Não;0,00;;5689;150277;1370,94;26,72;77,36
3503109; ARANDU;5;0;0;0;Sim;;;Não;0,00;;6373;194818;1258,5;23,91;208,25
3503158; ARAPEI;0;0;0;0;Não;;;Não;0,00;;2452;45568;2037,96;15,03;61,05
3503208; ARARAQUARA;739;1,58;253,89;16,65;Sim;Sim;Sim;Sim;4282,00;Sim;240542;11953237;1830,61;239,07;124,88
3503307; ARARAS;594;0;0;0;Não;;;Não;0,00;;136739;6942567;991,48;201,82;34,78
3503356; ARCO-IRIS;57;1,42;184,49;15,89;Não;;;Não;0,00;;1755;62096;1815,62;7,69;195,3
3503406; AREALVA;6;0,62;110,05;5,74;Não;;;Não;0,00;;8665;227083;1338,52;16,06;150,15
